movie_id,title,genres,director,actor,language,country,year
19,Ace Ventura: When Nature Calls,['Comedy'],Steve_Oedekerk,"['Maynard_Eziashi', 'Bob_Gunton', 'Jim_Carrey', 'Simon_Callow', 'Ian_McNeice']",['English'],['United_States'],1995
20,Money Train,['Action'],,[''],[''],[''],1995
21,Get Shorty,"['Action', 'Comedy', 'Drama']",Barry_Sonnenfeld,"['Dennis_Farina', 'James_Gandolfini', 'Danny_DeVito', 'Gene_Hackman', 'Delroy_Lindo', 'Rene_Russo', 'John_Travolta']",['English'],['United_States'],1995
22,Copycat,"['Crime', 'Drama', 'Thriller']",Jon_Amiel,"['Sigourney_Weaver', 'Will_Patton', 'Harry_Connick_Jr.', 'William_McNamara', 'Holly_Hunter', 'Dermot_Mulroney', 'J._E._Freeman', 'John_Rothman']",['English'],['United_States'],1995
23,Assassins,['Thriller'],,[''],[''],[''],1995
24,Powder,"['Drama', 'Sci-Fi']",Victor_Salva,"['Lance_Henriksen', 'Jeff_Goldblum', 'Sean_Patrick_Flanery', 'Mary_Steenburgen']",['English'],['United_States'],1995
25,Leaving Las Vegas,"['Drama', 'Romance']",Mike_Figgis,"['Nicolas_Cage', 'Elisabeth_Shue', 'Julian_Sands']",['English'],['United_States'],1995
26,Othello,['Drama'],Oliver_Parker,"['Kenneth_Branagh', 'Irène_Jacob', 'Laurence_Fishburne']",['English'],"['United_Kingdom', 'United_States']",1995
27,Now and Then,['Drama'],,[''],[''],[''],1995
28,Persuasion,['Romance'],Roger_Michell,"['Amanda_Root', 'Ciarán_Hinds']",['English'],"['United_Kingdom', 'United_States']",1995
29,"City of Lost Children, The","['Adventure', 'Sci-Fi']",Jean-Pierre_Jeunet|Marc_Caro,"['Daniel_Emilfork', 'Ticky_Holgado', 'Jean-Louis_Trintignant', 'Dominique_Pinon', 'Judith_Vittet', 'Jean-Claude_Dreyfus', 'Ron_Perlman', 'Serge_Merlin', 'Rufus']",['French'],"['France', 'Spain', 'Germany']",1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),['Drama'],Zhang_Yimou,"['Sun_Chun', 'Li_Xuejian', 'Gong_Li', 'Li_Baotian']",['Mandarin'],['China'],1995
31,Dangerous Minds,['Drama'],John_N._Smith,"['Michelle_Pfeiffer', 'George_Dzundza']",['English'],['United_States'],1995
32,Twelve Monkeys,"['Drama', 'Sci-Fi']",Terry_Gilliam,"['Brad_Pitt', 'Bruce_Willis', 'Madeleine_Stowe', 'Christopher_Plummer']",['English'],['United_States'],1995
33,Wings of Courage,"['Adventure', 'Romance']",Jean-Jacques_Annaud,"['Elizabeth_McGovern', 'Val_Kilmer', 'Craig_Sheffer', 'Tom_Hulce']",['English'],"['France', 'United_States']",1995
34,Babe,"[""Children's"", 'Comedy', 'Drama']",Chris_Noonan,"['James_Cromwell', 'Magda_Szubanski']",['English'],"['United_Kingdom', 'Australia', 'United_States']",1995
35,Carrington,"['Drama', 'Romance']",Christopher_Hampton,"['Penelope_Wilton', 'Emma_Thompson', 'Samuel_West', 'Steven_Waddington', 'Rufus_Sewell', 'Jonathan_Pryce']",['English'],[''],1995
36,Dead Man Walking,['Drama'],Tim_Robbins,"['Scott_Wilson', 'Raymond_J._Barry', 'R._Lee_Ermey', 'Susan_Sarandon', 'Robert_Prosky', 'Sean_Penn']",['English'],['United_States'],1995
37,Across the Sea of Time,['Documentary'],,[''],[''],[''],1995
38,It Takes Two,['Comedy'],Andy_Tennant,"['Philip_Bosco', 'Jane_Sibbett', 'Steve_Guttenberg', 'Mary-Kate_and_Ashley_Olsen', 'Kirstie_Alley']",['English'],['United_States'],1995
39,Clueless,"['Comedy', 'Romance']",,[''],[''],[''],1995
40,"Cry, the Beloved Country",['Drama'],Darrell_Roodt,"['James_Earl_Jones', 'Richard_Harris', 'Charles_S._Dutton']",['English'],"['United_States', 'South_Africa']",1995
41,Richard III,"['Drama', 'War']",Richard_Loncraine,"['John_Wood', 'Nigel_Hawthorne', 'Maggie_Smith', 'Robert_Downey_Jr.', 'Jim_Broadbent', 'Kristin_Scott_Thomas', 'Annette_Bening', 'Ian_McKellen']",['English'],"['United_Kingdom', 'United_States']",1995
42,Dead Presidents,"['Action', 'Crime', 'Drama']",Hughes_brothers,"['Freddy_Rodriguez', 'Keith_David', 'Larenz_Tate', 'Bokeem_Woodbine', 'Chris_Tucker', ""N'Bushe_Wright""]",['English'],['United_States'],1995
43,Restoration,['Drama'],Michael_Hoffman,"['Polly_Walker', 'Sam_Neill', 'David_Thewlis', 'Meg_Ryan', 'Hugh_Grant', 'Robert_Downey_Jr.', 'Ian_McKellen']",['English'],['United_States'],1995
44,Mortal Kombat,"['Action', 'Adventure']",,[''],[''],[''],1995
45,To Die For,"['Comedy', 'Drama']",Peter_Litten,"['John_Altman', 'Ian_Williams', 'Thomas_Arklie', 'Tony_Slattery', 'Dillie_Keane', 'Caroline_Munro', 'Jean_Boht']",['English'],['United_Kingdom'],1995
46,How to Make an American Quilt,"['Drama', 'Romance']",Jocelyn_Moorhouse,"['Ellen_Burstyn', 'Mykelti_Williamson', 'Loren_Dean', 'Jean_Simmons', 'Anne_Bancroft', 'Winona_Ryder', 'Kate_Nelligan', 'Rip_Torn', 'Maya_Angelou', ""Derrick_O'Connor"", 'Samantha_Mathis', 'Lois_Smith', 'Alfre_Woodard', 'Dermot_Mulroney', 'Kate_Capshaw']",['English'],['United_States'],1995
47,Seven (Se7en),"['Crime', 'Thriller']",David_Fincher,[''],['English'],['United_States'],1995
48,Pocahontas,"['Animation', ""Children's"", 'Musical', 'Romance']",Eric_Goldberg|Mike_Gabriel,"['Judy_Kuhn', 'Irene_Bedard', 'Russell_Means', 'Linda_Hunt', 'David_Ogden_Stiers', 'Christian_Bale', 'Frank_Welker', 'Gordon_Tootoosis', 'Mel_Gibson', 'Michelle_St._John', 'Billy_Connolly', 'John_Kassir']",['English'],['United_States'],1995
49,When Night Is Falling,"['Drama', 'Romance']",Patricia_Rozema,"['Pascale_Bussières', 'Rachael_Crawford']",['English'],['Canada'],1995
50,"Usual Suspects, The","['Crime', 'Thriller']",,[''],['English'],"['Germany', 'United_States']",1995
51,Guardian Angel,"['Action', 'Drama', 'Thriller']",,[''],[''],[''],1994
52,Mighty Aphrodite,['Comedy'],Woody_Allen,"['Mira_Sorvino', 'Woody_Allen', 'Helena_Bonham_Carter', 'Peter_Weller', 'David_Ogden_Stiers', 'Michael_Rapaport', 'F._Murray_Abraham', 'Claire_Bloom', 'Jack_Warden', 'Olympia_Dukakis']",['English'],['United_States'],1995
53,Lamerica,['Drama'],Gianni_Amelio,"['Elida_Janushi', 'Piro_Milkani', 'Marieta_Ljarja', 'Sefer_Pema', 'Idajet_Sejdia', 'Carmelo_Di_Mazzarelli', 'Enrico_Lo_Verso', 'Michele_Placido']","['Albanian', 'Italian']","['Switzerland', 'France', 'Italy', 'Austria']",1994
54,"Big Green, The","[""Children's"", 'Comedy']",Holly_Goldberg_Sloan,"['Steve_Guttenberg', 'Jay_O._Sanders', ""Olivia_d'Abo""]",['English'],['United_States'],1995
55,Georgia,['Drama'],Ulu_Grosbard,"['Jennifer_Jason_Leigh', 'John_C._Reilly', 'Tom_Bower', 'Max_Perlich', 'Ted_Levine', 'John_Doe', 'Mare_Winningham']",['English'],['United_States'],1995
56,Kids of the Round Table,"['Adventure', ""Children's"", 'Fantasy']",,[''],[''],[''],1995
57,Home for the Holidays,['Drama'],,[''],[''],[''],1995
58,"Postino, Il (The Postman)","['Drama', 'Romance']",,[''],[''],[''],1994
59,"Confessional, The (Le Confessionnal)","['Drama', 'Mystery']",,[''],[''],[''],1995
60,"Indian in the Cupboard, The","['Adventure', ""Children's"", 'Fantasy']",Frank_Oz,"['Hal_Scardino', 'Gary_%22Litefoot%22_Davis', 'Rishi_Bhat', 'Lindsay_Crouse', 'Richard_Jenkins', 'Steve_Coogan', 'David_Keith']",['English'],"['United_Kingdom', 'United_States']",1995
61,Eye for an Eye,"['Drama', 'Thriller']",John_Schlesinger,"['Sally_Field', 'Ed_Harris', ""Beverly_D'Angelo"", 'Joe_Mantegna', 'Kiefer_Sutherland']",['English'],['United_States'],1996
62,Mr. Holland's Opus,['Drama'],Stephen_Herek,"['Jay_Thomas', 'Glenne_Headly', 'Richard_Dreyfuss', 'Olympia_Dukakis']","['English', 'American_Sign_Language']",['United_States'],1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],Paris_Barclay,"['Shawn_Wayans', 'Marlon_Wayans']",['English'],['United_States'],1996
64,Two if by Sea,"['Comedy', 'Romance']",Bill_Bennett,"['Sandra_Bullock', 'Mike_Starr', 'Denis_Leary', 'Yaphet_Kotto', 'Stephen_Dillane']",['English'],['United_States'],1996
65,Bio-Dome,['Comedy'],Jason_Bloom,"['Kylie_Minogue', 'Stephen_Baldwin', 'William_Atherton', 'Joey_Lauren_Adams', 'Pauly_Shore']",['English'],['United_States'],1996
66,Lawnmower Man 2: Beyond Cyberspace,"['Sci-Fi', 'Thriller']",Farhad_Mann,"[""Austin_O'Brien"", 'Ely_Pouget', 'Kevin_Conway', 'Matt_Frewer', 'Patrick_Bergin']",['English'],['United_States'],1996
67,Two Bits,['Drama'],James_Foley,"['Mary_Elizabeth_Mastrantonio', 'Al_Pacino']",['English'],['United_States'],1995
68,French Twist (Gazon maudit),"['Comedy', 'Romance']",Josiane_Balasko,"['Alain_Chabat', 'Josiane_Balasko', 'Victoria_Abril']",['French'],['France'],1995
69,Friday,['Comedy'],F._Gary_Gray,"['Bernie_Mac', 'Regina_King', 'Ice_Cube', 'John_Witherspoon', 'Anna_Maria_Horsford', 'Tommy_Lister_Jr.', 'Chris_Tucker', 'Nia_Long']",['English'],['United_States'],1995
70,From Dusk Till Dawn,"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",Robert_Rodriguez,"['Juliette_Lewis', 'Quentin_Tarantino', 'Salma_Hayek', 'Harvey_Keitel', 'George_Clooney']",['English'],['United_States'],1996
71,Fair Game,['Action'],,"['Steven_Berkoff', 'William_Baldwin', 'Christopher_McDonald', 'Cindy_Crawford']",['English'],['United_States'],1995
72,Kicking and Screaming,"['Comedy', 'Drama']",Noah_Baumbach,"['Parker_Posey', 'Chris_Eigeman', 'Josh_Hamilton', 'Elliott_Gould', 'Eric_Stoltz', ""Olivia_d'Abo"", 'Cara_Buono', 'Jason_Wiles', 'Carlos_Jacott']",['English'],['United_States'],1995
73,"Misérables, Les","['Drama', 'Musical']",,[''],[''],[''],1995
74,Bed of Roses,"['Drama', 'Romance']",Michael_Goldenberg,"['Mary_Stuart_Masterson', 'Josh_Brolin', 'Christian_Slater', 'Pamela_Segall']",['English'],['United_States'],1996
75,Big Bully,"['Comedy', 'Drama']",Steve_Miner,"['Tom_Arnold', 'Carol_Kane', 'Jeffrey_Tambor', 'Don_Knotts', 'Rick_Moranis', 'Julianne_Phillips']",['English'],['United_States'],1996
76,Screamers,"['Sci-Fi', 'Thriller']",Christian_Duguay,"['Roy_Dupuis', 'Peter_Weller', 'Jennifer_Rubin', 'Andrew_Lauer']",['English'],"['Canada', 'United_States']",1995
77,Nico Icon,['Documentary'],,[''],[''],[''],1995
78,"Crossing Guard, The",['Drama'],Sean_Penn,[''],['English'],['United_States'],1995
79,"Juror, The","['Drama', 'Thriller']",Brian_Gibson,"['Alec_Baldwin', 'Demi_Moore', 'Lindsay_Crouse', 'James_Gandolfini']",['English'],['United_States'],1996
80,"White Balloon, The (Badkonake Sefid )",['Drama'],,[''],[''],[''],1995
81,Things to Do in Denver when You're Dead,"['Crime', 'Drama', 'Romance']",Gary_Fleder,"['Fairuza_Balk', 'Andy_García', 'Gabrielle_Anwar', 'Christopher_Lloyd', 'Jack_Warden', 'Bill_Nunn', 'William_Forsythe', 'Steve_Buscemi', 'Christopher_Walken', 'Treat_Williams']",['English'],['United_States'],1995
82,Antonia's Line (Antonia),['Drama'],Marleen_Gorris,"['Els_Dottermans', 'Willeke_van_Ammelrooy', 'Jan_Decleir']",['Dutch'],['Netherlands'],1995
83,Once Upon a Time... When We Were Colored,['Drama'],,[''],[''],[''],1995
84,Last Summer in the Hamptons,"['Comedy', 'Drama']",Henry_Jaglom,"['Roscoe_Lee_Browne', 'Brooke_Smith', 'Holland_Taylor', 'Martha_Plimpton', 'Andre_Gregory', 'Viveca_Lindfors', 'Kristoffer_Tabori', 'Ron_Rifkin', 'Victoria_Foyt', 'Roddy_MacDowall', 'Melissa_Leo', 'Jon_Robin_Baitz']",['English'],['United_States'],1995
85,Angels and Insects,"['Drama', 'Romance']",,[''],[''],[''],1995
86,White Squall,"['Adventure', 'Drama']",Ridley_Scott,"['John_Savage', 'Balthazar_Getty', 'Jeff_Bridges', 'Caroline_Goodall', 'Scott_Wolf', 'Jeremy_Sisto']",['English'],['United_States'],1996
87,Dunston Checks In,"[""Children's"", 'Comedy']",Ken_Kwapis,"['Faye_Dunaway', 'Eric_Lloyd', 'Jason_Alexander', 'Paul_Reubens', 'Glenn_Shadix', 'Rupert_Everett']",['English'],"['Canada', 'United_States']",1996
88,Black Sheep,['Comedy'],Penelope_Spheeris,"['David_Spade', 'Christine_Ebersole', 'Chris_Farley', 'Gary_Busey', 'Tim_Matheson']",['English'],['United_States'],1996
89,Nick of Time,"['Action', 'Thriller']",John_Badham,"['Charles_S._Dutton', 'Marsha_Mason', 'Roma_Maffia', 'Johnny_Depp', 'Gloria_Reuben', 'Peter_Strauss', 'Christopher_Walken']",['English'],['United_States'],1995
90,"Journey of August King, The",['Drama'],John_Duigan,"['Jason_Patric', 'Thandiwe_Newton', 'Larry_Drake', 'Sam_Waterston']",['English'],['United_States'],1995
92,Mary Reilly,"['Drama', 'Thriller']",Stephen_Frears,"['Bronagh_Gallagher', 'Glenn_Close', 'Julia_Roberts', 'George_Cole', 'John_Malkovich', 'Kathy_Staff', 'Michael_Gambon']",['English'],['United_States'],1996
93,Vampire in Brooklyn,"['Comedy', 'Romance']",Wes_Craven,"['Eddie_Murphy', 'Angela_Bassett', 'Kadeem_Hardison', 'Allen_Payne', 'Zakes_Mokae']",['English'],[''],1995
94,Beautiful Girls,['Drama'],Ted_Demme,"['Mira_Sorvino', 'Noah_Emmerich', 'Max_Perlich', ""Rosie_O'Donnell"", 'Matt_Dillon', 'Martha_Plimpton', 'Annabeth_Gish', 'Michael_Rapaport', 'Natalie_Portman', 'Pruitt_Taylor_Vince', 'Timothy_Hutton', 'Lauren_Holly', 'Uma_Thurman']",['English'],['United_States'],1996
95,Broken Arrow,"['Action', 'Thriller']",John_Woo,"['Bob_Gunton', 'Frank_Whaley', 'Christian_Slater', 'Howie_Long', 'Delroy_Lindo', 'Samantha_Mathis', 'John_Travolta']",['English'],['United_States'],1996
96,In the Bleak Midwinter,['Comedy'],Kenneth_Branagh,"['Julia_Sawalha', 'Celia_Imrie', 'Joan_Collins', 'Michael_Maloney', 'Nicholas_Farrell', 'Mark_Hadfield', 'Gerard_Horan', 'Richard_Briers']",['English'],['United_Kingdom'],1995
97,"Hate (Haine, La)",['Drama'],,[''],[''],[''],1995
98,Shopping,"['Action', 'Thriller']",,[''],[''],[''],1994
99,Heidi Fleiss: Hollywood Madam,['Documentary'],Nick_Broomfield,[''],['English'],[''],1995
100,City Hall,"['Drama', 'Thriller']",,[''],[''],[''],1996
101,Bottle Rocket,['Comedy'],Wes_Anderson,"['James_Caan', 'Owen_Wilson', 'Luke_Wilson']",['English'],['United_States'],1996
102,Mr. Wrong,['Comedy'],Nick_Castle,"['Bill_Pullman', 'Dean_Stockwell', 'Ellen_DeGeneres', 'Joan_Cusack', 'Joan_Plowright']",['English'],['United_States'],1996
103,Unforgettable,['Thriller'],,[''],[''],[''],1996
104,Happy Gilmore,['Comedy'],Dennis_Dugan,"['Julie_Bowen', 'Adam_Sandler', 'Carl_Weathers', 'Christopher_McDonald']",['English'],['United_States'],1996
105,"Bridges of Madison County, The","['Drama', 'Romance']",Clint_Eastwood,"['Meryl_Streep', 'Victor_Slezak', 'Clint_Eastwood', 'Annie_Corley']",['English'],['United_States'],1995
106,Nobody Loves Me (Keiner liebt mich),"['Comedy', 'Drama']",,[''],[''],[''],1994
107,Muppet Treasure Island,"['Adventure', ""Children's"", 'Comedy', 'Musical']",Brian_Henson,"['Jerry_Nelson', 'Frank_Oz', 'Steve_Whitmire', 'Dave_Goelz', 'Tim_Curry', 'Kevin_Clash']",['English'],['United_States'],1996
108,Catwalk,['Documentary'],Tim_Sullivan,['Kris_Marshall'],[''],['United_Kingdom'],1995
109,Headless Body in Topless Bar,['Comedy'],,[''],[''],[''],1995
110,Braveheart,"['Action', 'Drama', 'War']",Alan_Hale_Sr.,"['Lillian_Rich', 'Rod_La_Rocque']","['English', 'Silent']",['United_States'],1995
111,Taxi Driver,"['Drama', 'Thriller']",Chetan_Anand,[''],['Hindi'],['India'],1976
112,Rumble in the Bronx,"['Action', 'Adventure', 'Crime']",,[''],[''],[''],1995
113,Before and After,"['Drama', 'Mystery']",Barbet_Schroeder,"['Julia_Weldon', 'Edward_Furlong', 'Liam_Neeson', 'Alfred_Molina', 'Meryl_Streep']",['English'],['United_States'],1996
114,Margaret's Museum,['Drama'],Mort_Ransen,"['Helena_Bonham_Carter', 'Kate_Nelligan', 'Clive_Russell']","['English', 'Scottish_Gaelic']","['Canada', 'United_Kingdom']",1995
115,Happiness Is in the Field,['Comedy'],Étienne_Chatiliez,"['François_Morel', 'Eddy_Mitchell', 'Catherine_Jacob', 'Carmen_Maura', 'Michel_Serrault', 'Sabine_Azéma']",['French'],['France'],1995
116,Anne Frank Remembered,['Documentary'],Jon_Blair,['Glenn_Close'],['English'],['United_Kingdom'],1995
117,"Young Poisoner's Handbook, The",['Crime'],Benjamin_Ross,"['Roger_Lloyd-Pack', 'Ruth_Sheen', ""Hugh_O'Conor"", 'Charlotte_Coleman']",['English'],"['United_Kingdom', 'France', 'Germany']",1995
118,If Lucy Fell,"['Comedy', 'Romance']",Eric_Schaeffer,"['Sarah_Jessica_Parker', 'Ben_Stiller', 'Elle_Macpherson', 'Eric_Schaeffer', 'James_Rebhorn']",['English'],['United_States'],1996
119,"Steal Big, Steal Little",['Comedy'],Andrew_Davis,"['Rachel_Ticotin', 'Andy_García', 'Richard_Bradford', 'Alan_Arkin', 'David_Ogden_Stiers', 'Kevin_McCarthy', 'Joe_Pantoliano', 'Ally_Walker']",['English'],['United_States'],1995
120,Race the Sun,['Drama'],,[''],[''],[''],1996
121,"Boys of St. Vincent, The",['Drama'],John_N._Smith,"['Sebastian_Spence', 'David_Hewlett', 'Timothy_Webber', 'Henry_Czerny', 'Lise_Roy']",['English'],['Canada'],1993
122,Boomerang,"['Comedy', 'Romance']",Reginald_Hudlin,"['Eddie_Murphy', 'Grace_Jones', 'Geoffrey_Holder', 'Chris_Rock', 'Halle_Berry', 'Martin_Lawrence', 'David_Alan_Grier', 'Eartha_Kitt', 'Robin_Givens']",['English'],['United_States'],1992
123,Chungking Express,"['Drama', 'Mystery', 'Romance']",,[''],[''],[''],1994
124,"Star Maker, The (Uomo delle stelle, L')",['Drama'],,[''],[''],[''],1995
125,Flirting With Disaster,['Comedy'],David_O._Russell,"['Alan_Alda', 'Mary_Tyler_Moore', 'Ben_Stiller', 'Lily_Tomlin', 'Téa_Leoni', 'Richard_Jenkins', 'George_Segal', 'Patricia_Arquette']",['English'],['United_States'],1996
126,"NeverEnding Story III, The","['Adventure', ""Children's"", 'Fantasy']",Peter_MacDonald,"['Julie_Cox', 'Tony_Robinson', 'Melody_Kay', 'Jack_Black', 'Freddie_Jones', 'Jason_James_Richter']","['English', 'German']","['Germany', 'United_States']",1994
127,"Silence of the Palace, The (Saimt el Qusur)",['Drama'],,[''],[''],[''],1994
128,Jupiter's Wife,['Documentary'],,[''],[''],[''],1994
129,Pie in the Sky,"['Comedy', 'Romance']",Bryan_Gordon,"['Josh_Charles', 'Anne_Heche', 'Christine_Lahti', 'Peter_Riegert', 'Christine_Ebersole', 'John_Goodman']",['English'],['United_States'],1995
130,Angela,['Drama'],Rebecca_Miller,"['Vincent_Gallo', 'Anna_Thomson', 'John_Ventimiglia']",['English'],['United_States'],1995
131,Frankie Starlight,"['Drama', 'Romance']",Michael_Lindsay-Hogg,"['Matt_Dillon', 'Anne_Parillaud', 'Gabriel_Byrne']",['English'],[''],1995
132,Jade,['Thriller'],William_Friedkin,"['David_Caruso', 'Michael_Biehn', 'Richard_Crenna', 'Linda_Fiorentino', 'Chazz_Palminteri']",['English'],['United_States'],1995
133,Nueba Yol,"['Comedy', 'Drama']",,[''],[''],[''],1995
134,Sonic Outlaws,['Documentary'],,[''],[''],[''],1995
135,Down Periscope,['Comedy'],,[''],['English'],['United_States'],1996
136,From the Journals of Jean Seberg,['Documentary'],,[''],[''],[''],1995
137,Man of the Year,['Documentary'],Dirk_Shafer,"['Dirk_Shafer', 'Michael_Ornstein']",['English'],['United_States'],1995
138,"Neon Bible, The",['Drama'],Terence_Davies,"['Gena_Rowlands', 'Denis_Leary', 'Jacob_Tierney', 'Diana_Scarwid']",['English'],['United_Kingdom'],1995
139,Target,"['Action', 'Drama']",,"['Kathleen_Crowley', 'Richard_Denning', 'Richard_Reeves', 'Virginia_Grey']",['English'],['United_States'],1995
140,Up Close and Personal,"['Drama', 'Romance']",,[''],[''],[''],1996
141,"Birdcage, The",['Comedy'],Mike_Nichols,"['Dianne_Wiest', 'Robin_Williams', 'Nathan_Lane', 'Gene_Hackman']",['English'],['United_States'],1996
142,Shadows (Cienie),['Drama'],,[''],[''],[''],1988
143,Gospa,['Drama'],Jakov_Sedlar,"['Frank_Finlay', 'Martin_Sheen', 'Timothy_Wheeler', 'Daniela_Čolić-Prižmić', 'Morgan_Fairchild', 'Anica_Tomić', 'Michael_York', 'Paul_Guilfoyle', 'Paul_Tivers']",['English'],"['Croatia', 'United_States']",1995
144,"Brothers McMullen, The",['Comedy'],Edward_Burns,"['Jack_Mulcahy', 'Edward_Burns', 'Jennifer_Jostyn', 'Connie_Britton', 'Mike_McGlone', 'Maxine_Bahns']",['English'],['United_States'],1995
145,Bad Boys,['Action'],Michael_Bay,"['Will_Smith', 'Tchéky_Karyo', 'Téa_Leoni', 'Martin_Lawrence', 'Theresa_Randle', 'Joe_Pantoliano']",['English'],['United_States'],1995
146,"Amazing Panda Adventure, The","['Adventure', ""Children's""]",Christopher_Cain,"['Yi_Ding', 'Stephen_Lang']","['English', 'Chinese']",['United_States'],1995
147,"Basketball Diaries, The",['Drama'],Scott_Kalvert,"['Patrick_McGaw', 'Mark_Wahlberg', 'Lorraine_Bracco', 'Leonardo_DiCaprio', 'James_Madio', 'Bruno_Kirby', 'Ernie_Hudson', 'Michael_Imperioli']",['English'],['United_States'],1995
148,"Awfully Big Adventure, An",['Drama'],Mike_Newell,"['Georgina_Cates', 'Hugh_Grant', 'Alan_Rickman']",['English'],['United_Kingdom'],1995
149,Amateur,"['Crime', 'Drama', 'Thriller']",,[''],[''],[''],1994
150,Apollo 13,['Drama'],Ron_Howard,"['Kathleen_Quinlan', 'Gary_Sinise', 'Ed_Harris', 'Bill_Paxton', 'Kevin_Bacon', 'Tom_Hanks']",['English'],['United_States'],1995
151,Rob Roy,"['Drama', 'Romance', 'War']",,[''],[''],[''],1995
152,"Addiction, The",['Horror'],Minna_Virtanen,[''],['Finnish'],['Finland'],1995
153,Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",Joel_Schumacher,"[""Chris_O'Donnell"", 'Pat_Hingle', 'Val_Kilmer', 'Nicole_Kidman', 'Michael_Gough', 'Jim_Carrey', 'Tommy_Lee_Jones']",['English'],['United_States'],1995
